PC,"Inst Name",Jump?,Jump Addr
0x100,"NOP",0,0x0
0x101,"JP $0150",1,0x150
0x150,"DI",0,0x0
0x151,"LD D,A",0,0x0
0x152,"XOR A",0,0x0
0x153,"LD SP,$E000",1,0xE000
0x156,"LD HL,$DFFF",1,0xDFFF
0x159,"LD C,$20",0,0x0
0x15B,"LD B,$00",0,0x0
0x15D,"LD (HL-),A",0,0x0
0x15E,"DEC B",0,0x0
0x15F,"JR NZ,$015D  [-4]",1,0x15D
0x161,"DEC C",0,0x0
0x162,"JR NZ,$015D  [-7]",1,0x15D
0x164,"LD HL,$FFFF",1,0xFFFF
0x167,"LD B,$80",0,0x0
0x169,"LD (HL-),A",0,0x0
0x16A,"DEC B",0,0x0
0x16B,"JR NZ,$0169  [-4]",1,0x169
0x16D,"LD A,D",0,0x0
0x16E,"LD ($CEC2),A",1,0xCEC2
0x171,"CALL $3153",1,0x3153
0x3153,"LD A,($FF00+$40)  [LCDC]",0,0x0
0x3155,"ADD A,A",0,0x0
0x3156,"RET NC",0,0x0
0x3157,"LD A,($FF00+$44)  [LY]",0,0x0
0x3159,"CP $92",0,0x0
0x315B,"JR NC,$3157  [-6]",1,0x3157
0x315D,"LD A,($FF00+$44)  [LY]",0,0x0
0x315F,"CP $91",0,0x0
0x3161,"JR C,$315D  [-6]",1,0x315D
0x3163,"LD A,($FF00+$40)  [LCDC]",0,0x0
0x3165,"AND $7F",0,0x0
0x3167,"LD ($FF00+$40),A  [LCDC]",0,0x0
0x3169,"RET",0,0x0
0x174,"XOR A",0,0x0
0x175,"LD HL,$FE00",1,0xFE00
0x178,"LD (HL),A",0,0x0
0x179,"DEC L",0,0x0
0x17A,"JR NZ,$0178  [-4]",1,0x178
0x17C,"LD ($FF00+$42),A  [SCY]",0,0x0
0x17E,"LD ($FF00+$43),A  [SCX]",0,0x0
0x180,"LD ($FF00+$41),A  [STAT]",0,0x0
0x182,"LD ($FF00+$4A),A  [WY]",0,0x0
0x184,"LD A,$07",0,0x0
0x186,"LD ($FF00+$4B),A  [WX]",0,0x0
0x188,"LD BC,$FF80",1,0xFF80
0x18B,"LD HL,$316A",1,0x316A
0x18E,"LD B,$0A",0,0x0
0x190,"LD A,(HL+)",0,0x0
0x191,"LD ($FF00+C),A",0,0x0
0x192,"INC C",0,0x0
0x193,"DEC B",0,0x0
0x194,"JR NZ,$0190  [-6]",1,0x190
0x196,"LD BC,$312B",1,0x312B
0x199,"CALL $30E3",1,0x30E3
0x30E3,"LD HL,$CECA",1,0xCECA
0x30E6,"JP $3120",1,0x3120
0x3120,"LD A,(HL+)",0,0x0
0x3121,"OR (HL)",0,0x0
0x3122,"JR Z,$3127  [+3]",1,0x3127
0x3127,"LD (HL),B",0,0x0
0x3128,"DEC HL",0,0x0
0x3129,"LD (HL),C",0,0x0
0x312A,"RET",0,0x0
0x19C,"LD BC,$3174",1,0x3174
0x19F,"CALL $30F5",1,0x30F5
0x30F5,"LD HL,$CEFA",1,0xCEFA
0x30F8,"JP $3120",1,0x3120
0x1A2,"LD A,$E4",0,0x0
0x1A4,"LD ($FF00+$47),A  [BGP]",0,0x0
0x1A6,"LD ($FF00+$48),A  [OBP0]",0,0x0
0x1A8,"LD A,$1B",0,0x0
0x1AA,"LD ($FF00+$49),A  [OBP1]",0,0x0
0x1AC,"LD A,$C0",0,0x0
0x1AE,"LD ($FF00+$40),A  [LCDC]",0,0x0
0x1B0,"XOR A",0,0x0
0x1B1,"LD ($FF00+$0F),A  [IF]",0,0x0
0x1B3,"LD A,$09",0,0x0
0x1B5,"LD ($FF00+$FF),A  [IE]",0,0x0
0x1B7,"XOR A",0,0x0
0x1B8,"LD ($FF00+$26),A  [NR52]",0,0x0
0x1BA,"LD ($FF00+$02),A  [SC]",0,0x0
0x1BC,"LD A,$66",0,0x0
0x1BE,"LD ($FF00+$01),A  [SB]",0,0x0
0x1C0,"LD A,$80",0,0x0
0x1C2,"LD ($FF00+$02),A  [SC]",0,0x0
0x1C4,"XOR A",0,0x0
0x1C5,"CALL $354C",1,0x354C
0x354C,"LD HL,$C0AB",1,0xC0AB
0x354F,"LD (HL),$00",0,0x0
0x3551,"LD HL,$C687",1,0xC687
0x3554,"LD (HL),$00",0,0x0
0x3556,"LD HL,$C68F",1,0xC68F
0x3559,"LD (HL),$00",0,0x0
0x355B,"INC HL",0,0x0
0x355C,"LD (HL),$00",0,0x0
0x355E,"LD HL,$C692",1,0xC692
0x3561,"LD (HL),$00",0,0x0
0x3563,"LD HL,$C6A8",1,0xC6A8
0x3566,"LD (HL),$10",0,0x0
0x3568,"LD HL,$C6B1",1,0xC6B1
0x356B,"LD (HL),$00",0,0x0
0x356D,"LD HL,$C6B7",1,0xC6B7
0x3570,"LD (HL),$00",0,0x0
0x3572,"LD HL,$C6D4",1,0xC6D4
0x3575,"LD (HL),$00",0,0x0
0x3577,"LD HL,$C6D5",1,0xC6D5
0x357A,"LD (HL),$00",0,0x0
0x357C,"LD HL,$C71E",1,0xC71E
0x357F,"LD (HL),$00",0,0x0
0x3581,"LD HL,$C738",1,0xC738
0x3584,"LD (HL),$FF",0,0x0
0x3586,"LD HL,$C739",1,0xC739
0x3589,"LD (HL),$00",0,0x0
0x358B,"LD HL,$C73A",1,0xC73A
0x358E,"LD (HL),$00",0,0x0
0x3590,"LD HL,$C73B",1,0xC73B
0x3593,"LD (HL),$3F",0,0x0
0x3595,"LD HL,$C8AA",1,0xC8AA
0x3598,"LD (HL),$00",0,0x0
0x359A,"LD HL,$C8AD",1,0xC8AD
0x359D,"LD (HL),$00",0,0x0
0x359F,"LD HL,$C8AE",1,0xC8AE
0x35A2,"XOR A",0,0x0
0x35A3,"LD (HL+),A",0,0x0
0x35A4,"LD (HL),A",0,0x0
0x35A5,"LD HL,$C8EE",1,0xC8EE
0x35A8,"LD (HL),$00",0,0x0
0x35AA,"LD HL,$C8EF",1,0xC8EF
0x35AD,"LD (HL),$00",0,0x0
0x35AF,"LD HL,$C8F0",1,0xC8F0
0x35B2,"LD (HL),$00",0,0x0
0x35B4,"LD HL,$C8F1",1,0xC8F1
0x35B7,"LD (HL),$00",0,0x0
0x35B9,"LD HL,$C8F2",1,0xC8F2
0x35BC,"LD (HL),$00",0,0x0
0x35BE,"LD HL,$C8F5",1,0xC8F5
0x35C1,"LD (HL),$00",0,0x0
0x35C3,"LD HL,$C91A",1,0xC91A
0x35C6,"LD (HL),$00",0,0x0
0x35C8,"LD HL,$C922",1,0xC922
0x35CB,"LD (HL),$00",0,0x0
0x35CD,"LD HL,$C923",1,0xC923
0x35D0,"XOR A",0,0x0
0x35D1,"LD (HL+),A",0,0x0
0x35D2,"LD (HL),A",0,0x0
0x35D3,"LD HL,$C933",1,0xC933
0x35D6,"LD (HL),$00",0,0x0
0x35D8,"LD HL,$C93B",1,0xC93B
0x35DB,"XOR A",0,0x0
0x35DC,"LD (HL+),A",0,0x0
0x35DD,"LD (HL),A",0,0x0
0x35DE,"LD HL,$C94B",1,0xC94B
0x35E1,"XOR A",0,0x0
0x35E2,"LD (HL+),A",0,0x0
0x35E3,"LD (HL),A",0,0x0
0x35E4,"LD HL,$CA6B",1,0xCA6B
0x35E7,"LD (HL),$00",0,0x0
0x35E9,"LD HL,$CA6E",1,0xCA6E
0x35EC,"LD (HL),$00",0,0x0
0x35EE,"LD HL,$CA6F",1,0xCA6F
0x35F1,"LD (HL),$00",0,0x0
0x35F3,"LD HL,$CA70",1,0xCA70
0x35F6,"LD (HL),$00",0,0x0
0x35F8,"LD HL,$CA73",1,0xCA73
0x35FB,"LD (HL),$05",0,0x0
0x35FD,"LD HL,$CA74",1,0xCA74
0x3600,"LD (HL),$00",0,0x0
0x3602,"INC HL",0,0x0
0x3603,"LD (HL),$00",0,0x0
0x3605,"LD HL,$CA76",1,0xCA76
0x3608,"LD (HL),$00",0,0x0
0x360A,"INC HL",0,0x0
0x360B,"LD (HL),$00",0,0x0
0x360D,"LD HL,$CA78",1,0xCA78
0x3610,"LD (HL),$00",0,0x0
0x3612,"INC HL",0,0x0
0x3613,"LD (HL),$00",0,0x0
0x3615,"LD HL,$CA7A",1,0xCA7A
0x3618,"LD (HL),$00",0,0x0
0x361A,"INC HL",0,0x0
0x361B,"LD (HL),$00",0,0x0
0x361D,"LD HL,$CA7C",1,0xCA7C
0x3620,"LD (HL),$00",0,0x0
0x3622,"INC HL",0,0x0
0x3623,"LD (HL),$00",0,0x0
0x3625,"LD HL,$CA7E",1,0xCA7E
0x3628,"LD (HL),$00",0,0x0
0x362A,"INC HL",0,0x0
0x362B,"LD (HL),$00",0,0x0
0x362D,"LD HL,$CA80",1,0xCA80
0x3630,"LD (HL),$00",0,0x0
0x3632,"INC HL",0,0x0
0x3633,"LD (HL),$00",0,0x0
0x3635,"LD HL,$CA82",1,0xCA82
0x3638,"LD (HL),$00",0,0x0
0x363A,"INC HL",0,0x0
0x363B,"LD (HL),$00",0,0x0
0x363D,"LD HL,$CA89",1,0xCA89
